Food (100g),Calories ,Carbs (g),Protein (g),Fats (g)
apple,60,14.7,0.1,0.1
banana,98,23,0.74,0.29
orange,52,11.8,0.91,0.15
strawberry,36,7.96,0.64,0.22
bluberry,64,14.6,0.7,0.31
grape,86,20.2,0.91,0.16
pineapple,60,14.1,0.46,0.22
mango,60,17.4,0.69,0.68
watermelon,30,7.2,0.87,0
peach,46,10.1,0.91,0.27
lemon,29,9,0.4,0.3
lime,30,11,0.7,0.2
grapefruit,39,9.2,0.5,0.1
tangerine,53,13.3,0.81,0.31
clementine,47,12,0.85,0.15
raspberry,52,11.9,1.2,0.65
blackberry,43,9.61,1.39,0.49
cranberry,46,12,0.46,0.13
papaya,43,10.8,0.47,0.26
kiwi,65,13.8,1.01,0.64
pear,57,15.2,0.36,0.14
plum,46,11.4,0.7,0.28
cherry,63,16,1.06,0.2
apricot,48,11.1,1.01,0.39
pomegranate,83,18.7,1.67,1.17
broccoli,34,6.64,2.82,0.37
carrot,41,9.58,0.93,0.24
spinach,23,3.63,2.86,0.39
tomato,31,5.51,0.83,0.63
bell pepper,31,6.65,0.9,0.13
cucumber,16,2.95,0.62,0.18
onion,44,9.93,0.94,0.1
garlic,143,28.2,6.62,0.38
potato,83,17.8,2.27,0.36
sweet potato,79,17.3,1.58,0.38
lettuce,17,3.37,0.74,0.07
kale,43,4.42,2.92,1.49
arugula,31,5.37,1.65,0.32
cabbage,31,6.38,0.96,0.23
corn,85,14.7,2.79,1.63
zucchini,19,3.27,0.98,0.2
eggplant,26,5.4,0.85,0.12
mushroom,31,4.08,2.89,0.37
green beans,40,7.41,1.97,0.28
snow peas,42,7.55,2.8,0.2
edamame,121,8.91,11.9,5.2
brussel sprout,43,8.95,3.38,0.3
beet,43,9.56,1.61,0.17
cauliflower,25,4.97,1.92,0.28
celery,14,2.97,0.69,0.17
asparagus,20,3.88,2.2,0.12
butternut squash,45,11.7,1,0.1
green onion,32,7,0.67,0.2
cilantro,23,3.67,2.13,0.52
parsley ,36,6.33,2.97,0.79
basil ,23,2.65,3.15,0.64
chicken breast,158,0,32.1,3.24
chicken thigh,229,0,22.6,15.4
ground beef,240,0,25.1,14.5
ground turkey,203,0,27.4,10.4
egg,143,0.96,12.4,9.96
egg white,52,2.36,10.7,0.07
salmon,206,0,22.1,12.4
tuna,85,0.08,19,0.94
cod,84,0,20.4,0.25
milk,50,4.9,3.36,1.9
greek yogurt,59,3.64,10.3,0.37
feta cheese,273,5.58,19.7,19.1
mozzarella,304,8.06,23.6,19.7
ricotta cheese,138,5.14,11.4,7.91
tofu,144,2.78,17.3,8.72
lentil,360,62.2,23.6,1.92
black bean,118,19.8,6.91,1.27
cannellini bean,115,18.8,7.41,1.17
chickpea,137,20.3,7.02,3.1
peanut butter,632,22.7,24,49.4
almond,626,20,21.4,51.1
cashew,565,36.3,17.4,38.9
hazelnut,641,26.5,13.5,53.5
pumpkin seeds,574,14.7,29.8,49
olive oil,884,0,0,100
white rice,130,28.6,2.38,0.21
brown rice,123,25.6,2.74,0.97
pasta,371,74.7,13,1.51
whole wheat bread,254,43.1,12.3,3.55
oatmeal,379,67.7,13.2,6.52
barley,123,28.2,2.26,0.44
quinoa,120,21.3,4.4,1.92
whole wheat pita,262,55.9,9.8,1.71
tortilla,287,49.6,8.7,6
honey,304,82.4,0.3,0
butter,717,0.06,0.85,81.1
mayonnaise,361,0,0.37,40
balsamic vinegar,88,17,0.49,0
soy sauce,53,4.93,8.14,0.57
